Scenario,Solver,n_features,n_samples,Time_ms,RelError,Timestamp
narrow,Gauss_Naive,12,4096,2.6927,1.329215e-01,2026-06-01 10:42:43
narrow,Gauss_Perminov,12,4096,2.6297,1.329215e-01,2026-06-01 10:42:43
narrow,Gauss_Winograd,12,4096,2.7507,1.329215e-01,2026-06-01 10:42:43
narrow,Cholesky_Naive,12,4096,2.6671,1.329215e-01,2026-06-01 10:42:43
narrow,Cholesky_Perminov,12,4096,2.6147,1.329215e-01,2026-06-01 10:42:43
narrow,Cholesky_Winograd,12,4096,2.6947,1.329215e-01,2026-06-01 10:42:43
narrow,Gauss_Naive,20,4096,6.5661,1.320916e-01,2026-06-01 10:42:43
narrow,Gauss_Perminov,20,4096,6.1171,1.320916e-01,2026-06-01 10:42:44
narrow,Gauss_Winograd,20,4096,6.3575,1.320916e-01,2026-06-01 10:42:44
narrow,Cholesky_Naive,20,4096,6.4808,1.320916e-01,2026-06-01 10:42:44
narrow,Cholesky_Perminov,20,4096,6.0885,1.320916e-01,2026-06-01 10:42:44
narrow,Cholesky_Winograd,20,4096,6.3378,1.320916e-01,2026-06-01 10:42:44
narrow,Gauss_Naive,28,4096,13.1189,1.309063e-01,2026-06-01 10:42:44
narrow,Gauss_Perminov,28,4096,11.0169,1.309063e-01,2026-06-01 10:42:44
narrow,Gauss_Winograd,28,4096,11.4599,1.309063e-01,2026-06-01 10:42:44
narrow,Cholesky_Naive,28,4096,12.9009,1.309063e-01,2026-06-01 10:42:44
narrow,Cholesky_Perminov,28,4096,11.0159,1.309063e-01,2026-06-01 10:42:44
narrow,Cholesky_Winograd,28,4096,11.5879,1.309063e-01,2026-06-01 10:42:44
narrow,Gauss_Naive,15,4096,4.2077,1.327169e-01,2026-06-01 10:42:44
narrow,Gauss_Perminov,15,4096,3.8064,1.327169e-01,2026-06-01 10:42:44
narrow,Gauss_Winograd,15,4096,3.9021,1.327169e-01,2026-06-01 10:42:44
narrow,Cholesky_Naive,15,4096,3.9514,1.327169e-01,2026-06-01 10:42:44
narrow,Cholesky_Perminov,15,4096,3.7367,1.327169e-01,2026-06-01 10:42:44
narrow,Cholesky_Winograd,15,4096,3.8897,1.327169e-01,2026-06-01 10:42:44
narrow,Gauss_Naive,25,4096,10.7352,1.318019e-01,2026-06-01 10:42:44
narrow,Gauss_Perminov,25,4096,8.9788,1.318019e-01,2026-06-01 10:42:44
narrow,Gauss_Winograd,25,4096,9.6039,1.318019e-01,2026-06-01 10:42:44
narrow,Cholesky_Naive,25,4096,10.4959,1.318019e-01,2026-06-01 10:42:45
narrow,Cholesky_Perminov,25,4096,8.9258,1.318019e-01,2026-06-01 10:42:45
narrow,Cholesky_Winograd,25,4096,9.4795,1.318019e-01,2026-06-01 10:42:45
narrow,Gauss_Naive,35,4096,19.7851,1.304841e-01,2026-06-01 10:42:45
narrow,Gauss_Perminov,35,4096,16.5527,1.304841e-01,2026-06-01 10:42:45
narrow,Gauss_Winograd,35,4096,17.2237,1.304841e-01,2026-06-01 10:42:45
narrow,Cholesky_Naive,35,4096,19.7357,1.304841e-01,2026-06-01 10:42:45
narrow,Cholesky_Perminov,35,4096,16.411,1.304841e-01,2026-06-01 10:42:45
narrow,Cholesky_Winograd,35,4096,17.22,1.304841e-01,2026-06-01 10:42:45
narrow,Gauss_Naive,8,4096,1.492,1.153409e-01,2026-06-01 10:42:45
narrow,Gauss_Perminov,8,4096,1.4604,1.153409e-01,2026-06-01 10:42:45
narrow,Gauss_Winograd,8,4096,1.504,1.153409e-01,2026-06-01 10:42:45
narrow,Cholesky_Naive,8,4096,1.4797,1.153409e-01,2026-06-01 10:42:45
narrow,Cholesky_Perminov,8,4096,1.4717,1.153409e-01,2026-06-01 10:42:45
narrow,Cholesky_Winograd,8,4096,1.4817,1.153409e-01,2026-06-01 10:42:45
narrow,Gauss_Naive,14,4096,3.4781,1.138433e-01,2026-06-01 10:42:45
narrow,Gauss_Perminov,14,4096,3.4157,1.138433e-01,2026-06-01 10:42:45
narrow,Gauss_Winograd,14,4096,3.5227,1.138433e-01,2026-06-01 10:42:45
narrow,Cholesky_Naive,14,4096,3.4791,1.138433e-01,2026-06-01 10:42:45
narrow,Cholesky_Perminov,14,4096,3.3857,1.138433e-01,2026-06-01 10:42:45
narrow,Cholesky_Winograd,14,4096,3.4751,1.138433e-01,2026-06-01 10:42:46
narrow,Gauss_Naive,20,4096,6.4941,1.125670e-01,2026-06-01 10:42:46
narrow,Gauss_Perminov,20,4096,6.0691,1.125670e-01,2026-06-01 10:42:46
narrow,Gauss_Winograd,20,4096,6.4181,1.125670e-01,2026-06-01 10:42:46
narrow,Cholesky_Naive,20,4096,6.5478,1.125670e-01,2026-06-01 10:42:46
narrow,Cholesky_Perminov,20,4096,6.0388,1.125670e-01,2026-06-01 10:42:46
narrow,Cholesky_Winograd,20,4096,6.3461,1.125670e-01,2026-06-01 10:42:46
narrow,Gauss_Naive,12,4096,2.6821,1.138735e-01,2026-06-01 10:42:46
narrow,Gauss_Perminov,12,4096,2.6857,1.138735e-01,2026-06-01 10:42:46
narrow,Gauss_Winograd,12,4096,2.7344,1.138735e-01,2026-06-01 10:42:46
narrow,Cholesky_Naive,12,4096,2.6627,1.138735e-01,2026-06-01 10:42:46
narrow,Cholesky_Perminov,12,4096,2.6517,1.138735e-01,2026-06-01 10:42:46
narrow,Cholesky_Winograd,12,4096,2.6977,1.138735e-01,2026-06-01 10:42:46
narrow,Gauss_Naive,21,4096,7.5828,1.126197e-01,2026-06-01 10:42:46
narrow,Gauss_Perminov,21,4096,6.5615,1.126197e-01,2026-06-01 10:42:46
narrow,Gauss_Winograd,21,4096,6.9551,1.126197e-01,2026-06-01 10:42:46
narrow,Cholesky_Naive,21,4096,7.6328,1.126197e-01,2026-06-01 10:42:46
narrow,Cholesky_Perminov,21,4096,6.6058,1.126197e-01,2026-06-01 10:42:46
narrow,Cholesky_Winograd,21,4096,6.9241,1.126197e-01,2026-06-01 10:42:46
narrow,Gauss_Naive,30,4096,14.8443,1.119332e-01,2026-06-01 10:42:46
narrow,Gauss_Perminov,30,4096,12.2776,1.119332e-01,2026-06-01 10:42:46
narrow,Gauss_Winograd,30,4096,13.2563,1.119332e-01,2026-06-01 10:42:46
narrow,Cholesky_Naive,30,4096,13.5919,1.119332e-01,2026-06-01 10:42:46
narrow,Cholesky_Perminov,30,4096,12.2822,1.119332e-01,2026-06-01 10:42:47
narrow,Cholesky_Winograd,30,4096,12.9716,1.119332e-01,2026-06-01 10:42:47
narrow,Gauss_Naive,16,4096,4.6728,1.126766e-01,2026-06-01 10:42:47
narrow,Gauss_Perminov,16,4096,4.1957,1.126766e-01,2026-06-01 10:42:47
narrow,Gauss_Winograd,16,4096,4.3464,1.126766e-01,2026-06-01 10:42:47
narrow,Cholesky_Naive,16,4096,4.3154,1.126766e-01,2026-06-01 10:42:47
narrow,Cholesky_Perminov,16,4096,4.1667,1.126766e-01,2026-06-01 10:42:47
narrow,Cholesky_Winograd,16,4096,4.4098,1.126766e-01,2026-06-01 10:42:47
narrow,Gauss_Naive,28,4096,12.1069,1.119761e-01,2026-06-01 10:42:47
narrow,Gauss_Perminov,28,4096,11.0516,1.119761e-01,2026-06-01 10:42:47
narrow,Gauss_Winograd,28,4096,11.5052,1.119761e-01,2026-06-01 10:42:47
narrow,Cholesky_Naive,28,4096,11.9832,1.119761e-01,2026-06-01 10:42:47
narrow,Cholesky_Perminov,28,4096,10.9826,1.119761e-01,2026-06-01 10:42:47
narrow,Cholesky_Winograd,28,4096,11.4919,1.119761e-01,2026-06-01 10:42:47
narrow,Gauss_Naive,40,4096,23.9928,1.111643e-01,2026-06-01 10:42:47
narrow,Gauss_Perminov,40,4096,21.3408,1.111643e-01,2026-06-01 10:42:48
narrow,Gauss_Winograd,40,4096,22.4151,1.111643e-01,2026-06-01 10:42:48
narrow,Cholesky_Naive,40,4096,25.7525,1.111643e-01,2026-06-01 10:42:48
narrow,Cholesky_Perminov,40,4096,21.1121,1.111643e-01,2026-06-01 10:42:48
narrow,Cholesky_Winograd,40,4096,22.3778,1.111643e-01,2026-06-01 10:42:48
narrow,Gauss_Naive,20,4096,7.0135,1.122703e-01,2026-06-01 10:42:48
narrow,Gauss_Perminov,20,4096,6.0765,1.122703e-01,2026-06-01 10:42:48
narrow,Gauss_Winograd,20,4096,6.3785,1.122703e-01,2026-06-01 10:42:48
narrow,Cholesky_Naive,20,4096,6.6048,1.122703e-01,2026-06-01 10:42:48
narrow,Cholesky_Perminov,20,4096,6.0511,1.122703e-01,2026-06-01 10:42:48
narrow,Cholesky_Winograd,20,4096,6.4075,1.122703e-01,2026-06-01 10:42:48
narrow,Gauss_Naive,35,4096,18.445,1.116135e-01,2026-06-01 10:42:48
narrow,Gauss_Perminov,35,4096,16.4593,1.116135e-01,2026-06-01 10:42:49
narrow,Gauss_Winograd,35,4096,17.4787,1.116135e-01,2026-06-01 10:42:49
narrow,Cholesky_Naive,35,4096,18.28,1.116135e-01,2026-06-01 10:42:49
narrow,Cholesky_Perminov,35,4096,16.4793,1.116135e-01,2026-06-01 10:42:49
narrow,Cholesky_Winograd,35,4096,17.5647,1.116135e-01,2026-06-01 10:42:49
narrow,Gauss_Naive,50,4096,39.4181,1.107325e-01,2026-06-01 10:42:49
narrow,Gauss_Perminov,50,4096,33.4903,1.107325e-01,2026-06-01 10:42:49
narrow,Gauss_Winograd,50,4096,33.7973,1.107325e-01,2026-06-01 10:42:50
narrow,Cholesky_Naive,50,4096,36.0854,1.107325e-01,2026-06-01 10:42:50
narrow,Cholesky_Perminov,50,4096,33.3477,1.107325e-01,2026-06-01 10:42:50
narrow,Cholesky_Winograd,50,4096,33.8343,1.107325e-01,2026-06-01 10:42:50
narrow,Gauss_Naive,10,4096,2.092,1.002378e-01,2026-06-01 10:42:50
narrow,Gauss_Perminov,10,4096,2.1237,1.002378e-01,2026-06-01 10:42:50
narrow,Gauss_Winograd,10,4096,2.1204,1.002378e-01,2026-06-01 10:42:50
narrow,Cholesky_Naive,10,4096,2.0567,1.002378e-01,2026-06-01 10:42:50
narrow,Cholesky_Perminov,10,4096,2.183,1.002378e-01,2026-06-01 10:42:50
narrow,Cholesky_Winograd,10,4096,2.0917,1.002378e-01,2026-06-01 10:42:50
narrow,Gauss_Naive,18,4096,5.9065,9.926648e-02,2026-06-01 10:42:50
narrow,Gauss_Perminov,18,4096,5.2681,9.926648e-02,2026-06-01 10:42:50
narrow,Gauss_Winograd,18,4096,5.5458,9.926648e-02,2026-06-01 10:42:51
narrow,Cholesky_Naive,18,4096,5.3928,9.926648e-02,2026-06-01 10:42:51
narrow,Cholesky_Perminov,18,4096,5.1998,9.926648e-02,2026-06-01 10:42:51
narrow,Cholesky_Winograd,18,4096,5.3461,9.926648e-02,2026-06-01 10:42:51
narrow,Gauss_Naive,26,4096,10.3719,9.844712e-02,2026-06-01 10:42:51
narrow,Gauss_Perminov,26,4096,9.6732,9.844712e-02,2026-06-01 10:42:51
narrow,Gauss_Winograd,26,4096,9.9949,9.844712e-02,2026-06-01 10:42:51
narrow,Cholesky_Naive,26,4096,10.2655,9.844712e-02,2026-06-01 10:42:51
narrow,Cholesky_Perminov,26,4096,9.6405,9.844712e-02,2026-06-01 10:42:51
narrow,Cholesky_Winograd,26,4096,9.9765,9.844712e-02,2026-06-01 10:42:51
narrow,Gauss_Naive,15,4096,4.1814,9.922042e-02,2026-06-01 10:42:51
narrow,Gauss_Perminov,15,4096,3.8447,9.922042e-02,2026-06-01 10:42:51
narrow,Gauss_Winograd,15,4096,3.9107,9.922042e-02,2026-06-01 10:42:51
narrow,Cholesky_Naive,15,4096,4.2461,9.922042e-02,2026-06-01 10:42:51
narrow,Cholesky_Perminov,15,4096,3.8314,9.922042e-02,2026-06-01 10:42:51
narrow,Cholesky_Winograd,15,4096,3.9791,9.922042e-02,2026-06-01 10:42:51
narrow,Gauss_Naive,27,4096,12.1256,9.838028e-02,2026-06-01 10:42:51
narrow,Gauss_Perminov,27,4096,10.1959,9.838028e-02,2026-06-01 10:42:51
narrow,Gauss_Winograd,27,4096,10.7509,9.838028e-02,2026-06-01 10:42:51
narrow,Cholesky_Naive,27,4096,12.1316,9.838028e-02,2026-06-01 10:42:51
narrow,Cholesky_Perminov,27,4096,10.1322,9.838028e-02,2026-06-01 10:42:52
